Entry	Gene names	Gene names  (synonym )	Gene names  (ordered locus )	Organism ID
STM1149	mdoC opgC STM1149	opgC	STM1149	99287
STM3112	mltC STM3112		STM3112	99287
STM2226	yejK STM2226		STM2226	99287
STM1226	potA STM1226		STM1226	99287
STM0709	phrB phr STM0709	phr	STM0709	99287
STM1348	ppsR STM1348		STM1348	99287
STM0661	rihA STM0661		STM0661	99287
STM3320	rpoN glnF ntrA STM3320	glnF ntrA	STM3320	99287
STM4080	lsrE STM4080		STM4080	99287
STM1233	hflD STM1233		STM1233	99287
STM0937	hcp STM0937		STM0937	99287
STM2772	hin STM2772		STM2772	99287
STM1231	phoP STM1231		STM1231	99287
STM0321	proB STM0321		STM0321	99287
STM2319	nuoK STM2319		STM2319	99287
STM1246	pagC STM1246		STM1246	99287
STM3287	nusA STM3287		STM3287	99287
STM0207	mtnN mtn STM0207	mtn	STM0207	99287
STM2041	pduD STM2041		STM2041	99287
STM1493	osmX STM1493		STM1493	99287
STM2673	rplS STM2673		STM2673	99287
STM0796	bioC STM0796		STM0796	99287
STM1912	flhE STM1912		STM1912	99287
STM1002	dpaL STM1002		STM1002	99287
STM1469	fumC STM1469		STM1469	99287
STM2193	folE STM2193		STM2193	99287
STM3257	gatZ STM3257		STM3257	99287
STM1106	hpcH hpaI STM1106	hpaI	STM1106	99287
STM3511	nfuA STM3511		STM3511	99287
STM1928	otsA STM1928		STM1928	99287
STM2385	prmB yfcB STM2385	yfcB	STM2385	99287
STM3712	rfaC waaC STM3712	waaC	STM3712	99287
STM4456	mgtA STM4456		STM4456	99287
STM2203	nfo STM2203		STM2203	99287
STM3592	dtpB STM3592		STM3592	99287
STM2571	murQ yfeU STM2571	yfeU	STM2571	99287
STM3622	bcsE STM3622		STM3622	99287
STM0059	citD2 STM0059		STM0059	99287
STM0609	ahpF STM0609		STM0609	99287
STM0118	cra fruR STM0118	fruR	STM0118	99287
STM4221	pgi atbR STM4221	atbR	STM4221	99287
STM0710	dtpD STM0710		STM0710	99287
STM4243	dusA STM4243		STM4243	99287
STM3172	ftsP sufI STM3172	sufI	STM3172	99287
STM0775	galT STM0775		STM0775	99287
STM3197	glgS STM3197		STM3197	99287
STM2121	dcd STM2121		STM2121	99287
STM0821	dinG STM0821		STM0821	99287
STM1968	fliE fla AI flaN STM1968	fla AI flaN	STM1968	99287
STM2190	mglB STM2190		STM2190	99287
STM2062	dacD phsE phsF STM2062	phsE phsF	STM2062	99287
STM0168	cueO cuiD STM0168	cuiD	STM0168	99287
STM3618	bcsB STM3618		STM3618	99287
STM0439	cyoE STM0439		STM0439	99287
STM0583	ybdK STM0583		STM0583	99287
STM3646	ghrB STM3646		STM3646	99287
STM0012	dnaK STM0012		STM0012	99287
STM3635	eptB STM3635		STM3635	99287
STM2976	fucI STM2976		STM2976	99287
STM4293	eptA pagB pmrC STM4293	pagB pmrC	STM4293	99287
STM2519	der engA STM2519	engA	STM2519	99287
STM0231	dnaE polC STM0231	polC	STM0231	99287
STM0728	nei STM0728		STM0728	99287
STM2561	glnB STM2561		STM2561	99287
STM3913	gppA STM3913 STMD1.78		STM3913	99287
STM3507	feoC STM3507		STM3507	99287
STM3477	cysG STM3477		STM3477	99287
STM2403	glk STM2403		STM2403	99287
STM2300	arnD pbgP4 pmrJ STM2300	pbgP4 pmrJ	STM2300	99287
STM2429	cysZ STM2429		STM2429	99287
STM0552	fimW STM0552		STM0552	99287
STM1525	glsA STM1525		STM1525	99287
STM0543	fimA STM0543		STM0543	99287
STM0831	dps STM0831		STM0831	99287
